KEYPOINT_DETECTOR, DESCRIPTOR, MATCHER_SUBTYPE, CROSSCHECK, MATCHES_MEAN, MATCHES_SD
FAST, BRIEF, DES_BINARY, 0, 314.555556, 17.094509
FAST, BRIEF, DES_BINARY, 0, 314.555556, 17.094509
FAST, SIFT, DES_HOG, 0, 309.111111, 11.752068
FAST, SIFT, DES_HOG, 0, 309.111111, 11.752068
FAST, ORB, DES_BINARY, 0, 306.888889, 11.205158
FAST, ORB, DES_BINARY, 0, 306.888889, 11.205158
FAST, FREAK, DES_BINARY, 0, 247.222222, 11.055416
FAST, FREAK, DES_BINARY, 0, 247.222222, 11.055416
FAST, BRISK, DES_BINARY, 0, 242.555556, 10.913804
FAST, BRISK, DES_BINARY, 0, 242.555556, 10.913804
FAST, BRIEF, DES_HOG, 0, 242.000000, 11.264497
FAST, BRIEF, DES_HOG, 0, 242.000000, 11.264497
FAST, ORB, DES_HOG, 0, 227.666667, 8.504901
FAST, ORB, DES_HOG, 0, 227.666667, 8.504901
FAST, BRISK, DES_HOG, 0, 203.555556, 10.666667
FAST, BRISK, DES_HOG, 0, 203.555556, 10.666667
BRISK, BRIEF, DES_BINARY, 0, 189.333333, 10.115994
BRISK, BRIEF, DES_BINARY, 0, 189.333333, 10.115994
FAST, SIFT, DES_BINARY, 0, 186.444444, 11.680944
FAST, SIFT, DES_BINARY, 0, 186.444444, 11.680944
BRISK, SIFT, DES_HOG, 0, 182.888889, 9.134793
BRISK, SIFT, DES_HOG, 0, 182.888889, 9.134793
BRISK, BRISK, DES_BINARY, 0, 174.444444, 8.205689
FAST, FREAK, DES_HOG, 0, 174.444444, 12.224747
FAST, FREAK, DES_HOG, 0, 174.444444, 12.224747
BRISK, BRISK, DES_BINARY, 0, 174.444444, 8.205689
BRISK, FREAK, DES_BINARY, 0, 169.555556, 8.931841
BRISK, FREAK, DES_BINARY, 0, 169.555556, 8.931841
BRISK, ORB, DES_BINARY, 0, 167.777778, 8.212457
BRISK, ORB, DES_BINARY, 0, 167.777778, 8.212457
BRISK, BRIEF, DES_HOG, 0, 149.333333, 11.215069
BRISK, BRIEF, DES_HOG, 0, 149.333333, 11.215069
BRISK, BRISK, DES_HOG, 0, 144.222222, 8.027730
BRISK, BRISK, DES_HOG, 0, 144.222222, 8.027730
AKAZE, SIFT, DES_HOG, 0, 141.111111, 8.137704
AKAZE, SIFT, DES_HOG, 0, 141.111111, 8.137704
AKAZE, BRIEF, DES_BINARY, 0, 140.666667, 8.096639
AKAZE, BRIEF, DES_BINARY, 0, 140.666667, 8.096639
AKAZE, AKAZE, DES_BINARY, 0, 139.888889, 8.491826
AKAZE, AKAZE, DES_BINARY, 0, 139.888889, 8.491826
AKAZE, BRISK, DES_BINARY, 0, 135.000000, 7.086764
AKAZE, BRISK, DES_BINARY, 0, 135.000000, 7.086764
AKAZE, FREAK, DES_BINARY, 0, 132.000000, 8.944272
AKAZE, FREAK, DES_BINARY, 0, 132.000000, 8.944272
AKAZE, ORB, DES_BINARY, 0, 131.777778, 7.895146
AKAZE, ORB, DES_BINARY, 0, 131.777778, 7.895146
AKAZE, AKAZE, DES_HOG, 0, 130.222222, 8.339997
AKAZE, AKAZE, DES_HOG, 0, 130.222222, 8.339997
AKAZE, BRISK, DES_HOG, 0, 123.333333, 8.743251
AKAZE, BRISK, DES_HOG, 0, 123.333333, 8.743251
BRISK, FREAK, DES_HOG, 0, 121.111111, 10.903618
BRISK, FREAK, DES_HOG, 0, 121.111111, 10.903618
AKAZE, BRIEF, DES_HOG, 0, 120.777778, 10.450944
AKAZE, BRIEF, DES_HOG, 0, 120.777778, 10.450944
AKAZE, FREAK, DES_HOG, 0, 107.333333, 9.780934
AKAZE, FREAK, DES_HOG, 0, 107.333333, 9.780934
SHITOMASI, BRIEF, DES_BINARY, 0, 104.888889, 5.077182
SHITOMASI, BRIEF, DES_BINARY, 0, 104.888889, 5.077182
SHITOMASI, SIFT, DES_HOG, 0, 103.000000, 5.077182
SHITOMASI, SIFT, DES_HOG, 0, 103.000000, 5.077182
AKAZE, ORB, DES_HOG, 0, 102.444444, 10.376255
AKAZE, ORB, DES_HOG, 0, 102.444444, 10.376255
BRISK, ORB, DES_HOG, 0, 101.444444, 11.025224
BRISK, ORB, DES_HOG, 0, 101.444444, 11.025224
SHITOMASI, ORB, DES_BINARY, 0, 100.777778, 2.309401
SHITOMASI, ORB, DES_BINARY, 0, 100.777778, 2.309401
AKAZE, SIFT, DES_BINARY, 0, 97.666667, 10.723805
AKAZE, SIFT, DES_BINARY, 0, 97.666667, 10.723805
SHITOMASI, BRIEF, DES_HOG, 0, 90.666667, 3.431877
SHITOMASI, BRIEF, DES_HOG, 0, 90.666667, 3.431877
SIFT, SIFT, DES_HOG, 0, 88.888889, 8.491826
SIFT, SIFT, DES_HOG, 0, 88.888889, 8.491826
SHITOMASI, BRISK, DES_BINARY, 0, 85.222222, 4.818944
SHITOMASI, BRISK, DES_BINARY, 0, 85.222222, 4.818944
SHITOMASI, FREAK, DES_BINARY, 0, 85.111111, 3.651484
SHITOMASI, FREAK, DES_BINARY, 0, 85.111111, 3.651484
SHITOMASI, ORB, DES_HOG, 0, 85.000000, 3.771236
SHITOMASI, ORB, DES_HOG, 0, 85.000000, 3.771236
ORB, SIFT, DES_HOG, 0, 84.777778, 9.498538
ORB, SIFT, DES_HOG, 0, 84.777778, 9.498538
ORB, ORB, DES_BINARY, 0, 84.555556, 12.192894
ORB, ORB, DES_BINARY, 0, 84.555556, 12.192894
ORB, BRISK, DES_BINARY, 0, 83.444444, 6.912147
ORB, BRISK, DES_BINARY, 0, 83.444444, 6.912147
SIFT, BRIEF, DES_BINARY, 0, 78.000000, 6.514940
SIFT, BRIEF, DES_BINARY, 0, 78.000000, 6.514940
SHITOMASI, BRISK, DES_HOG, 0, 76.666667, 4.371626
SHITOMASI, BRISK, DES_HOG, 0, 76.666667, 4.371626
ORB, BRISK, DES_HOG, 0, 72.111111, 7.431166
ORB, BRISK, DES_HOG, 0, 72.111111, 7.431166
SHITOMASI, SIFT, DES_BINARY, 0, 69.111111, 4.472136
SHITOMASI, SIFT, DES_BINARY, 0, 69.111111, 4.472136
BRISK, SIFT, DES_BINARY, 0, 68.000000, 9.285592
BRISK, SIFT, DES_BINARY, 0, 68.000000, 9.285592
SIFT, BRIEF, DES_HOG, 0, 66.333333, 8.717798
SIFT, BRIEF, DES_HOG, 0, 66.333333, 8.717798
SIFT, FREAK, DES_BINARY, 0, 66.222222, 5.607535
SIFT, FREAK, DES_BINARY, 0, 66.222222, 5.607535
SIFT, BRISK, DES_BINARY, 0, 65.777778, 5.487359
SIFT, BRISK, DES_BINARY, 0, 65.777778, 5.487359
SHITOMASI, FREAK, DES_HOG, 0, 63.888889, 2.560382
SHITOMASI, FREAK, DES_HOG, 0, 63.888889, 2.560382
ORB, BRIEF, DES_BINARY, 0, 60.555556, 13.654466
ORB, BRIEF, DES_BINARY, 0, 60.555556, 13.654466
SIFT, BRISK, DES_HOG, 0, 59.555556, 5.953524
SIFT, BRISK, DES_HOG, 0, 59.555556, 5.953524
ORB, ORB, DES_HOG, 0, 57.222222, 10.159834
ORB, ORB, DES_HOG, 0, 57.222222, 10.159834
SIFT, FREAK, DES_HOG, 0, 55.555556, 6.437736
SIFT, FREAK, DES_HOG, 0, 55.555556, 6.437736
SIFT, SIFT, DES_BINARY, 0, 52.111111, 7.295356
SIFT, SIFT, DES_BINARY, 0, 52.111111, 7.295356
ORB, BRIEF, DES_HOG, 0, 50.000000, 10.749677
ORB, BRIEF, DES_HOG, 0, 50.000000, 10.749677
ORB, SIFT, DES_BINARY, 0, 47.444444, 6.324555
ORB, SIFT, DES_BINARY, 0, 47.444444, 6.324555
ORB, FREAK, DES_BINARY, 0, 46.777778, 5.405758
ORB, FREAK, DES_BINARY, 0, 46.777778, 5.405758
ORB, FREAK, DES_HOG, 0, 38.777778, 3.464102
ORB, FREAK, DES_HOG, 0, 38.777778, 3.464102
HARRIS, BRIEF, DES_BINARY, 0, 18.777778, 5.033223
HARRIS, BRIEF, DES_BINARY, 0, 18.777778, 5.033223
HARRIS, SIFT, DES_HOG, 0, 18.333333, 4.807402
HARRIS, SIFT, DES_HOG, 0, 18.333333, 4.807402
HARRIS, ORB, DES_BINARY, 0, 18.222222, 5.487359
HARRIS, ORB, DES_BINARY, 0, 18.222222, 5.487359
HARRIS, ORB, DES_HOG, 0, 15.333333, 3.887301
HARRIS, ORB, DES_HOG, 0, 15.333333, 3.887301
HARRIS, BRIEF, DES_HOG, 0, 15.222222, 4.000000
HARRIS, BRIEF, DES_HOG, 0, 15.222222, 4.000000
HARRIS, FREAK, DES_BINARY, 0, 14.444444, 3.511885
HARRIS, FREAK, DES_BINARY, 0, 14.444444, 3.511885
HARRIS, BRISK, DES_BINARY, 0, 13.555556, 2.472066
HARRIS, BRISK, DES_BINARY, 0, 13.555556, 2.472066
HARRIS, SIFT, DES_BINARY, 0, 13.222222, 3.651484
HARRIS, SIFT, DES_BINARY, 0, 13.222222, 3.651484
HARRIS, BRISK, DES_HOG, 0, 11.777778, 2.403701
HARRIS, BRISK, DES_HOG, 0, 11.777778, 2.403701
HARRIS, FREAK, DES_HOG, 0, 10.555556, 3.415650
HARRIS, FREAK, DES_HOG, 0, 10.555556, 3.415650
