DETECTOR ,DESCRIPTOR, DETECTION_TIME_MEAN, DETECTION_TIME_SD, DESCRIPTOR_TIME_MEAN, DESCRIPTOR_TIME_SD, TOTAL_TIME_MEAN, TOTAL_TIME_SD
FAST, BRISK, 20.814286, 1.843909, 8.300000, 0.447214, 29.114286, 1.897367
FAST, BRIEF, 19.742857, 1.201190, 9.900000, 0.547723, 29.642857, 1.320173
FAST, ORB, 20.257143, 1.287301, 17.800000, 0.000000, 38.057143, 1.287301
HARRIS, BRIEF, 67.271429, 9.805975, 0.300000, 0.316228, 67.571429, 9.811072
FAST, FREAK, 20.828571, 1.985663, 46.800000, 1.378405, 67.628571, 2.417200
SHITOMASI, BRIEF, 65.800000, 3.441345, 3.300000, 0.894427, 69.100000, 3.555680
ORB, BRISK, 66.685714, 3.685880, 2.500000, 0.447214, 69.185714, 3.712912
HARRIS, BRISK, 69.685714, 8.618916, 0.300000, 0.632456, 69.985714, 8.642090
ORB, BRIEF, 69.414286, 8.974567, 2.800000, 0.316228, 72.214286, 8.980137
SHITOMASI, BRISK, 76.971429, 48.586888, 2.200000, 0.316228, 79.171429, 48.587917
HARRIS, ORB, 66.857143, 9.182281, 14.100000, 0.447214, 80.957143, 9.193165
SHITOMASI, ORB, 66.257143, 2.526997, 15.100000, 0.447214, 81.357143, 2.566265
HARRIS, FREAK, 67.657143, 9.537145, 38.900000, 0.894427, 106.557143, 9.578995
SHITOMASI, FREAK, 66.285714, 2.501428, 43.000000, 1.549193, 109.285714, 2.942302
ORB, FREAK, 71.285714, 9.276699, 41.100000, 1.549193, 112.385714, 9.405166
ORB, ORB, 67.385714, 4.329302, 72.000000, 2.774887, 139.385714, 5.142262
BRISK, BRISK, 135.042857, 4.239272, 6.000000, 0.316228, 141.042857, 4.251050
BRISK, BRIEF, 135.400000, 3.501020, 6.100000, 0.000000, 141.500000, 3.501020
BRISK, FREAK, 134.028571, 4.822566, 45.500000, 2.024846, 179.528571, 5.230406
HARRIS, SIFT, 68.128571, 9.645132, 125.700000, 2.469818, 193.828571, 9.956333
BRISK, ORB, 131.414286, 5.349232, 63.100000, 1.843909, 194.514286, 5.658117
FAST, SIFT, 19.714286, 1.612452, 178.000000, 6.663332, 197.714286, 6.855655
SHITOMASI, SIFT, 70.485714, 2.908117, 130.900000, 2.280351, 201.385714, 3.695557
ORB, SIFT, 65.400000, 6.916853, 270.100000, 28.633896, 335.500000, 29.457475
AKAZE, BRIEF, 344.557143, 4.644505, 4.800000, 0.000000, 349.357143, 4.644505
AKAZE, BRISK, 354.828571, 13.665912, 4.300000, 0.316228, 359.128571, 13.669570
BRISK, SIFT, 147.228571, 4.846206, 243.700000, 3.549648, 390.928571, 6.007139
AKAZE, FREAK, 347.942857, 10.800132, 46.000000, 1.378405, 393.942857, 10.887739
AKAZE, ORB, 352.285714, 10.283829, 42.300000, 2.645751, 394.585714, 10.618717
AKAZE, SIFT, 361.371429, 18.811850, 192.600000, 6.082763, 553.971429, 19.770830
SIFT, BRISK, 670.371429, 41.655389, 4.600000, 2.121320, 674.971429, 41.709369
AKAZE, AKAZE, 348.114286, 6.592203, 328.100000, 4.827007, 676.214286, 8.170504
SIFT, BRIEF, 687.114286, 52.853301, 3.300000, 0.547723, 690.414286, 52.856139
SIFT, FREAK, 742.757143, 192.550773, 49.400000, 6.848357, 792.157143, 192.672520
SIFT, SIFT, 686.342857, 63.785914, 612.900000, 3.492850, 1299.242857, 63.881475
